timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-26T15:29:58.061Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,392,24,0.2881,35.9,392,908.5,N/A,2737.3,2765.2,0,0,0,60
2026-05-26T15:30:00.958Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,588,N/A,0.0095,124.9,588,527.4,N/A,1058.4,1058.7,0,0,0,60
2026-05-26T15:30:02.531Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,588,144,0.0095,124.9,588,527.4,N/A,1058.4,1058.7,0,0,0,60
2026-05-26T15:30:04.600Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,352,N/A,0.0903,126.9,352,411.1,N/A,869,870.1,0,0,0,60
2026-05-26T15:30:06.828Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,604,N/A,0.0074,129,604,657.7,N/A,931.1,931.3,0,0,0,60
2026-05-26T15:30:14.013Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,208,N/A,0.0492,N/A,208,309.4,N/A,2681.3,2698.1,0,0,0,60
2026-05-26T15:30:19.917Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,292,56,0.2881,36.7,292,779.7,N/A,2483.4,2512.9,0,0,0,60
2026-05-26T15:30:22.529Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,212,N/A,0.1216,38.4,212,350.3,N/A,988.8,989.1,0,0,0,60
2026-05-26T15:30:24.094Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,212,144,0.1216,38.4,212,350.3,N/A,988.8,989.1,0,0,0,60
2026-05-26T15:30:26.918Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,332,N/A,0.0903,45.4,332,410.3,N/A,1599.9,1606.1,0,0,0,60
2026-05-26T15:30:29.611Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,204,N/A,0.0074,41,204,247.4,N/A,1323.5,1324.9,0,0,0,60
2026-05-26T15:30:36.651Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,176,N/A,0.3201,9.2,176,564.8,N/A,3058.8,3077.7,0,0,0,60
2026-05-26T15:30:42.164Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,280,40,0.2881,39.6,280,758.4,N/A,2657.5,2679.7,0,0,0,60
2026-05-26T15:30:44.718Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,188,N/A,0.1216,33.8,188,386.6,N/A,962.9,963.1,0,0,0,60
2026-05-26T15:30:46.375Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,188,96,0.1216,33.8,188,386.6,N/A,962.9,963.1,0,0,0,60
2026-05-26T15:30:48.437Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,228,N/A,0.0903,38.2,228,327.8,N/A,864.6,866.2,0,0,0,60
2026-05-26T15:30:50.884Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,212,N/A,0.0077,36.9,212,264.7,N/A,1161.1,1162.3,0,0,0,60
2026-05-26T15:30:57.947Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,488,N/A,0.0492,7.7,488,582.6,N/A,3025.9,3050.5,0,0,0,60
2026-05-26T15:31:03.829Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,296,32,0.2881,32.9,296,770.1,N/A,2626.2,2638.7,0,0,0,60
2026-05-26T15:31:06.699Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,224,N/A,0.1216,33.1,224,398.4,N/A,961.7,962,0,0,0,60
2026-05-26T15:31:08.253Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,224,88,0.1216,33.1,224,398.4,N/A,961.7,962,0,0,0,60
